school_name,ap_course_count,ap_students_tested,ap_tests_administered,ap_tests_3plus,ap_exam_pass_rate,act_composite_avg,act_english_avg,act_math_avg,act_reading_avg,act_science_avg,act_students_tested,graduation_rate,hope_eligible_pct,dropout_rate
Trickum Middle School,8,,,,,,,,,,,,,
Trion High School,10,56,77,50,64.9,20.9,19.7,19.5,22.3,21.8,32,97.94,79.57,
Troup County High School,14,159,254,123,48.4,18.5,18.1,18.1,19.3,18.4,33,94.21,36.09,1.5
Tucker High School,16,274,382,193,50.5,22.8,22.6,21.6,23.3,22.9,19,81.01,49.48,6.2
Tucker Middle School,3,,,,,,,,,,,,,
Turner County High School,,,,,,,,,,,,96.84,31.18,3.7
Turner County Specialty School,1,6,,,,15.3,13.7,15.5,16.2,15.5,13,,,50.0
Twiggs County High School,1,13,13,,,16.9,14.9,16.3,18.4,17.3,17,87.5,40.82,4.1
Twin Rivers Middle School,8,12,12,10,83.3,,,,,,,,,
UHS of Laurel Heights,,,,,,,,,,,,,,9.4
UHS of Savannah Coastal Harbor Treatment Center,,,,,,,,,,,,,,14.9
Union County High School,5,41,46,25,54.3,21.5,20.2,18.8,23.5,22.5,13,96.88,57.99,1.6
Union Grove High,22,310,676,585,86.5,20.4,19.8,19.5,21.2,20.7,85,94.32,52.97,0.8
Union Grove Middle,1,,,,,,,,,,,,,
Upson-Lee High School,7,83,109,61,56.0,21.3,20.8,19.2,23.5,20.5,11,92.49,54.65,1.8
Upson-Lee Middle School,2,,,,,,,,,,,,,
Utopian Academy for the Arts High School,,,,,,,,,,,,100.0,,
Valdosta High School,15,239,328,197,60.1,19.2,18.1,17.8,21.2,19.7,18,92.9,44.6,1.6
Valdosta Middle School,4,,,,,,,,,,,,,
Veterans High School,21,459,942,806,85.6,22.2,21.2,21.8,23.8,21.7,47,96.57,64.08,1.4
Vidalia Academy,1,1,,,,,,,,,,34.32,,27.5
Vidalia Comprehensive High School,11,127,209,101,48.3,21.0,19.0,20.7,23.2,20.9,10,96.84,59.44,1.6
Villa Rica High School,19,242,407,228,56.0,19.6,18.7,20.3,20.4,18.7,19,96.74,56.56,1.7
VIP Academy (Virtual),,,,,,,,,,,,88.79,20.65,3.6
Virtual Preparatory Academy of GA @ Jenkins,,,,,,,,,,,,,,15.7
Walnut Grove High School,16,256,385,294,76.4,21.6,20.7,20.4,23.5,21.0,22,91.74,58.02,1.3
Walton High School,36,1473,3461,3246,93.8,26.0,25.9,25.4,26.6,25.6,167,97.86,80.34,0.4
Ware County High School,13,167,209,101,48.3,18.5,17.1,17.3,20.5,18.9,21,95.36,51.29,1.6
Warner Robins High School,22,238,462,266,57.6,18.4,16.8,17.9,20.8,18.1,12,90.5,43.46,1.4
Warren County High School,1,2,,,,17.8,17.5,17.2,17.9,18.1,12,92.59,56.36,
Washington County High School,4,71,78,18,23.1,15.9,14.8,16.5,16.1,15.4,12,93.8,53.88,1.3
Washington-Wilkes Comprehensive High School,15,84,187,90,48.1,18.1,17.4,18.0,18.1,17.9,11,87.13,34.83,2.7
Wayne County High School,15,188,311,149,47.9,18.4,16.7,17.6,19.7,19.1,18,89.57,43.32,0.8
Webster County High School,,,,,,15.5,14.8,15.6,16.2,15.4,14,92.86,57.89,
Wellspring Living,,,,,,,,,,,,,,57.9
West End Academy,,,,,,14.2,12.0,16.1,13.5,15.0,13,,,
West Forsyth High School,31,1256,2564,2171,84.7,23.1,22.4,22.5,24.2,22.9,165,98.13,76.76,0.5
West Hall High School,10,105,136,95,69.9,18.8,17.1,18.8,19.6,19.1,16,94.3,37.5,0.9
West Laurens High School,8,70,110,96,87.3,21.5,21.5,20.1,24.0,19.7,13,92.06,53.77,1.2
Westlake High School,15,700,1026,200,19.5,18.6,17.6,17.5,20.2,18.7,76,91.92,40.04,2.1
Westover High School,8,15,18,13,72.2,17.0,16.2,16.0,17.7,17.9,11,95.1,44.64,1.3
Westside High,,,,,,,,,,,,74.83,,6.5
Westside High School,15,84,125,26,20.8,16.4,15.2,16.1,16.7,17.4,16,84.25,37.97,2.9
Wheeler County High School,2,23,23,6,26.1,16.9,15.4,17.2,17.4,17.0,14,96.55,55.36,3.3
Wheeler High School,33,687,1681,1555,92.5,27.6,27.3,27.3,28.3,27.1,66,89.41,64.25,2.1
White County 9th Grade Academy,,,,,,,,,,,,,,2.9
White County High School,13,189,295,194,65.8,22.1,19.8,21.7,23.8,23.2,12,95.82,57.2,1.0
Whitewater High School,24,416,913,807,88.4,21.5,20.4,21.4,22.5,21.7,71,95.85,61.31,0.8
Wilcox County High School,1,47,47,,,15.2,13.5,16.0,15.5,15.3,13,98.73,58.23,3.4
Wilkinson County High School,2,20,23,2,8.7,17.1,16.9,16.2,17.6,17.2,31,94.85,42.55,
Winder-Barrow High School,16,225,387,261,67.4,20.8,19.3,19.0,23.0,22.0,21,90.67,40.75,2.4
Windsor Forest High School,7,62,80,30,37.5,15.0,13.4,15.0,14.6,16.8,10,81.2,21.36,3.8
Wiregrass Regional College and Career Academy,,,,,,,,,,,,98.15,44.0,
Wood's Mill Academy,,,,,,,,,,,,34.78,,20.8
Woodland High School,25,169,312,210,67.3,18.8,17.1,18.8,20.1,18.4,35,88.54,36.64,2.0
Woodland Middle School,5,,,,,,,,,,,,,
Woodstock High School,28,621,1490,1235,82.9,21.7,20.4,21.5,22.4,22.1,68,96.02,58.54,0.7
Woodville-Tompkins Technical and Career High School,9,73,89,63,70.8,18.0,16.7,18.5,19.0,17.3,10,100.0,71.51,
Woody Gap High/Elementary School,1,1,,,,,,,,,,,,
Worth County Achievement Center,,,,,,,,,,,,35.29,8.33,23.8
Worth County High School,2,57,57,45,78.9,19.0,19.0,17.8,20.4,18.8,25,92.89,58.56,1.2
Youth Villages at Inner Harbour,,,,,,,,,,,,,,19.0
Z - Montgomery Academy,3,2,,,,,,,,,,,,
Z_Rockdale Career Academy,5,13,16,6,37.5,,,,,,,,,
Zebulon High School,1,,,,,,,,,,,93.48,11.11,15.8
